name,location,rating,votes,cost,cuisines
Jalsa,Banashankari,4.1,775,800.0,"North Indian, Mughlai, Chinese"
Spice Elephant,Banashankari,4.1,787,800.0,"Chinese, North Indian, Thai"
San Churro Cafe,Banashankari,3.8,918,800.0,"Cafe, Mexican, Italian"
Addhuri Udupi Bhojana,Banashankari,3.7,88,300.0,"South Indian, North Indian"
Grand Village,Basavanagudi,3.8,166,600.0,"North Indian, Rajasthani"
Timepass Dinner,Basavanagudi,3.8,286,600.0,North Indian
Rosewood International Hotel - Bar & Restaurant,Mysore Road,3.6,8,800.0,"North Indian, South Indian, Andhra, Chinese"
Onesta,Banashankari,4.6,2556,600.0,"Pizza, Cafe, Italian"
Penthouse Cafe,Banashankari,4.0,324,700.0,"Cafe, Italian, Continental"
Smacznego,Banashankari,4.2,504,550.0,"Cafe, Mexican, Italian, Momos, Beverages"
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,4.1,402,500.0,Cafe
Cafe Shuffle,Banashankari,4.2,150,600.0,"Cafe, Italian, Continental"
The Coffee Shack,Banashankari,4.2,164,500.0,"Cafe, Chinese, Continental, Italian"
Caf-Eleven,Banashankari,4.0,424,450.0,"Cafe, Continental"
San Churro Cafe,Banashankari,3.8,918,800.0,"Cafe, Mexican, Italian"
Cafe Vivacity,Banashankari,3.8,90,650.0,Cafe
Catch-up-ino,Banashankari,3.9,133,800.0,"Cafe, Fast Food, Continental, Chinese, Momos"
Kirthi's Biryani,Banashankari,3.8,144,700.0,"Chinese, Cafe, Italian"
T3H Cafe,Banashankari,3.9,93,300.0,"Cafe, Italian, American"
360 Atoms Restaurant And Cafe,Banashankari,3.1,13,400.0,"Cafe, Chinese, Continental, Italian"
The Vintage Cafe,Banashankari,3.0,62,400.0,"Cafe, French, North Indian"
Woodee Pizza,Banashankari,3.7,180,500.0,"Cafe, Pizza, Fast Food, Beverages"
Cafe Coffee Day,Banashankari,3.6,28,900.0,"Cafe, Fast Food"
My Tea House,Banashankari,3.6,62,600.0,"Italian, Fast Food, Cafe, European"
Hide Out Cafe,Banashankari,3.7,31,300.0,Cafe
CAFE NOVA,Banashankari,3.2,11,600.0,"Cafe, Bakery"
Coffee Tindi,Banashankari,3.8,75,200.0,"Cafe, South Indian"
Sea Green Cafe,Banashankari,3.3,4,500.0,"Cafe, Fast Food, Beverages"
Cuppa,Banashankari,3.3,23,550.0,"Cafe, Fast Food"
Srinathji's Cafe,Basavanagudi,3.8,148,550.0,"North Indian, Cafe, Chinese, Fast Food"
Redberrys,Basavanagudi,4.0,219,600.0,"Cafe, Italian"
Foodiction,Banashankari,2.8,506,500.0,"North Indian, Fast Food, Chinese, Burger"
Sweet Truth,Banashankari,3.9,35,500.0,"Bakery, Desserts"
Ovenstory Pizza,Banashankari,3.9,172,750.0,Pizza
Faasos,Banashankari,4.2,415,500.0,"North Indian, Biryani, Fast Food"
Behrouz Biryani,Banashankari,3.9,230,650.0,Biryani
Fast And Fresh,Banashankari,2.8,91,400.0,"North Indian, Chinese, Fast Food"
Szechuan Dragon,Banashankari,4.2,1647,600.0,"Chinese, Thai, Momos"
Empire Restaurant,Jayanagar,4.4,4884,750.0,"North Indian, Mughlai, South Indian, Chinese"
Maruthi Davangere Benne Dosa,Banashankari,4.0,17,150.0,South Indian
Chaatimes,Basavanagudi,3.8,133,200.0,"Street Food, Fast Food"
Havyaka Mess,Banashankari,3.9,28,300.0,South Indian
McDonald's,Banashankari,3.9,286,500.0,"Burger, Fast Food"
Domino's Pizza,Banashankari,3.9,540,800.0,"Pizza, Fast Food"
Onesta,Banashankari,4.6,2556,600.0,"Pizza, Cafe, Italian"
Hotboxit,Banashankari,3.8,36,400.0,"North Indian, Continental, Italian"
Kitchen Garden,Kumaraswamy Layout,3.6,244,300.0,"North Indian, Chinese"
Recipe,Kumaraswamy Layout,4.0,804,450.0,"North Indian, Chinese, Biryani, Rolls"
Beijing Bites,Rajarajeshwari Nagar,3.7,679,850.0,"Chinese, Thai"
Tasty Bytes,Kumaraswamy Layout,3.1,245,300.0,"North Indian, Chinese, Momos, Rolls"
Petoo,Banashankari,3.7,21,450.0,North Indian
Shree Cool Point,Vijay Nagar,4.1,28,150.0,"Fast Food, Street Food, Beverages"
Corner House Ice Cream,Banashankari,4.3,345,400.0,"Ice Cream, Desserts"
Biryanis And More,Jayanagar,4.0,618,750.0,"Biryani, North Indian, Chinese, Andhra, South Indian"
Roving Feast,Banashankari,4.0,1047,450.0,"Italian, Continental, Fast Food, Chinese, Momos"
FreshMenu,Banashankari,3.9,627,450.0,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
Banashankari Donne Biriyani,Banashankari,3.8,104,300.0,"Biryani, Fast Food"
Wamama,Banashankari,4.2,354,800.0,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos"
Five Star Chicken,Banashankari,3.6,55,200.0,"Fast Food, Burger"
XO Belgian Waffle,Banashankari,3.7,17,400.0,"Desserts, Beverages"
Peppy Peppers,Banashankari,4.2,244,800.0,"Italian, North Indian, Mexican"
Goa 0 Km,Kumaraswamy Layout,3.6,163,800.0,"Goan, Seafood, North Indian, Chinese, Biryani"
Chinese Kitchen,Basavanagudi,3.8,58,150.0,Chinese
1947,Banashankari,4.0,808,850.0,"North Indian, Chinese"
Cake of the Day,Banashankari,3.7,78,150.0,Bakery
Kabab Magic,Basavanagudi,4.1,1720,400.0,"North Indian, Kebab, Chinese, Fast Food"
Namma Brahmin's Idli,Jayanagar,3.6,34,100.0,South Indian
Gustoes Beer House,Banashankari,4.1,868,1200.0,"Continental, Italian, Mexican, North Indian, Chinese, Steak"
Sugar Rush,Banashankari,3.8,39,300.0,"Bakery, Desserts"
Burger King,Basavanagudi,3.2,71,600.0,"Burger, Fast Food, Beverages"
The Good Bowl,Banashankari,3.6,6,500.0,"Italian, North Indian, Biryani"
The Biryani Cafe,Banashankari,4.1,520,300.0,"Biryani, Chinese, Kebab"
LSD Cafe,Banashankari,2.9,84,700.0,"Chinese, Continental, Italian, North Indian"
Rolls On Wheels,Banashankari,3.6,299,300.0,"Fast Food, Rolls, Momos"
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,4.1,558,150.0,South Indian
Devanna Dum Biriyani Centre,Banashankari,3.6,28,300.0,"Biryani, South Indian"
Kolbeh,Banashankari,3.7,22,500.0,Fast Food
Upahar Sagar,Banashankari,3.8,39,350.0,"South Indian, Chinese, North Indian"
Kadalu Sea Food Restaurant,Vijay Nagar,3.8,153,500.0,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab"
Frozen Bottle,Banashankari,4.2,146,400.0,"Beverages, Desserts, Ice Cream"
Parimala Sweets,Banashankari,3.5,14,200.0,"Mithai, Street Food"
Vaishali Deluxe,Banashankari,3.8,42,700.0,"North Indian, Chinese"
The Big O Bakes,Banashankari,4.0,66,300.0,"Bakery, Desserts"
Meghana Foods,Jayanagar,4.4,4401,600.0,"Biryani, North Indian, Chinese"
Krishna Sagar,Banashankari,3.5,31,200.0,North Indian
Dessert Rose,Banashankari,3.5,7,500.0,Desserts
Chickpet Donne Biryani House,Banashankari,3.7,21,250.0,Biryani
Thanco's Natural Ice Creams,Banashankari,3.2,9,300.0,Ice Cream
Nandhini Deluxe,Banashankari,2.6,283,600.0,North Indian
Vi Ra's Bar and Restaurant,Banashankari,3.3,62,800.0,"South Indian, North Indian, Chinese"
Kaggis,Banashankari,3.8,64,250.0,"Fast Food, Bakery"
Ayda Persian Kitchen,Banashankari,3.7,39,950.0,"North Indian, Iranian"
Chatar Patar,Banashankari,3.7,65,300.0,"Fast Food, Street Food"
Polar Bear,Basavanagudi,3.8,71,400.0,"Ice Cream, Desserts, Beverages, Sandwich"
Kidambi's Kitchen,Banashankari,3.5,52,300.0,South Indian
Mane Thindi,Banashankari,3.7,130,200.0,South Indian
Kotian Karavali Restaurant,Banashankari,3.5,10,300.0,"South Indian, Biryani"
Floured-Baked With Love,Banashankari,3.8,45,400.0,Bakery
CAFE NOVA,Banashankari,3.2,11,600.0,"Cafe, Bakery"
Cakes & Slices,Banashankari,3.5,13,300.0,"Bakery, Desserts"
Spice 9,Banashankari,3.4,8,300.0,"Biryani, North Indian, Chinese, Fast Food"
Naveen Kabab & Biriyani Mane,Banashankari,3.2,9,300.0,Biryani
Katriguppe Donne Biryani,Banashankari,3.2,4,300.0,North Indian
Atithi Point Ande Ka Funda,Banashankari,3.1,29,150.0,North Indian
Just Bake,Banashankari,3.4,8,400.0,"Bakery, Desserts"
K27 - The Pub,Banashankari,3.1,30,1000.0,"Chinese, North Indian"
Bengaluru Coffee House,Banashankari,4.1,201,300.0,"South Indian, North Indian, Chinese, Street Food"
New Mangalore Lunch Home,Banashankari,3.3,7,200.0,"Mangalorean, South Indian, North Indian"
Coffee Bytes,Banashankari,3.1,6,100.0,"Fast Food, South Indian"
Parjanya Chat Zone,Banashankari,3.3,17,200.0,"Street Food, Fast Food"
Kwality Wall's Swirl's Happiness Station,Banashankari,2.9,25,200.0,"Ice Cream, Desserts"
Ruchi Maayaka,Banashankari,3.3,8,100.0,South Indian
Anna Kuteera,Banashankari,4.0,771,450.0,"South Indian, North Indian, Chinese"
Darbar,Banashankari,3.0,98,800.0,"North Indian, Chinese"
Vijayalakshmi,Basavanagudi,3.9,47,200.0,South Indian
Sri Udupi Food Hub,Jayanagar,4.1,175,500.0,"South Indian, North Indian, Chinese, Beverages"
Udupi Upahar,Banashankari,3.8,58,300.0,"South Indian, Chinese, North Indian, Juices"
House Of Kebabs,Basavanagudi,3.8,540,650.0,"North Indian, Kebab, Biryani, Chinese"
Roll N Rock,Kumaraswamy Layout,3.8,124,400.0,"Chinese, North Indian, Mughlai, Rolls"
BOX8- Desi Meals,Banashankari,4.1,340,500.0,"North Indian, Mughlai, Fast Food"
KFC,Banashankari,3.8,505,450.0,"Burger, Fast Food"
Roll Over,Jayanagar,4.1,438,500.0,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich"
Imperial Restaurant,Mysore Road,3.7,264,750.0,"North Indian, Chinese, Biryani, Beverages"
Lassi Shop,Kumaraswamy Layout,3.9,169,150.0,"Beverages, Juices, Ice Cream"
The Fortuna,Kumaraswamy Layout,3.0,67,250.0,"North Indian, Chinese"
Wahab,Jayanagar,3.7,97,350.0,"North Indian, Mughlai, Chinese"
Al Diwan Biryanis And More,Basavanagudi,3.3,12,300.0,Biryani
New Gowda's Fried Chicken,Banashankari,3.3,12,300.0,Biryani
Canton,Jayanagar,3.6,195,800.0,"Chinese, Seafood, Biryani"
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,3.3,13,300.0,"Desserts, Mithai"
The Blue Wagon - Kitchen,Jayanagar,4.6,228,400.0,"Cafe, Beverages"
HOT COFFEE,Basavanagudi,4.1,70,150.0,"South Indian, Chinese"
Patio 805,Jayanagar,4.1,364,1200.0,"Thai, Vietnamese, Asian, Chinese"
Lassi Corner,Basavanagudi,3.7,107,150.0,"Beverages, Ice Cream"
Sagar Deluxe,Kumaraswamy Layout,3.2,167,300.0,"South Indian, North Indian, Chinese, Juices"
Kanti Sweets,Banashankari,4.0,115,400.0,"Mithai, Street Food"
Vegetalia,Banashankari,3.7,27,400.0,"Italian, Pizza"
Aramane Donne Biryani,Banashankari,3.5,57,200.0,Biryani
Ande Ka Funda,Banashankari,3.8,120,250.0,"North Indian, Fast Food, Rolls"
Cake Ghar,Basavanagudi,3.8,15,400.0,Bakery
Energy Addaa,Basavanagudi,4.2,64,500.0,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza"
Bhattara Bhojana,Banashankari,3.6,66,150.0,South Indian
Tandoori Knight,Banashankari,3.0,290,450.0,"North Indian, Chinese, Biryani, Kebab"
Dev Sagar - Food Street,Basavanagudi,4.1,233,200.0,Street Food
Mitraa Da Pizza,Kumaraswamy Layout,3.8,115,250.0,"Fast Food, Pizza"
Paradise Premium,Banashankari,3.1,119,700.0,"Biryani, Andhra, Hyderabadi, North Indian"
Grazers,Jayanagar,3.9,291,650.0,"Cafe, Burger, Continental, Italian, Desserts"
Shakes Theory,Jayanagar,4.5,155,300.0,"Beverages, Sandwich"
@Italy,Kumaraswamy Layout,4.1,305,700.0,Italian
Chilli Flakes,Banashankari,3.6,46,500.0,"Fast Food, Italian, Beverages"
Calcutta Cafe,Kumaraswamy Layout,3.5,45,350.0,"Bengali, Chinese, Sandwich"
Old Mumbai Ice Cream,Banashankari,3.9,38,150.0,Ice Cream
Donne Biriyani House,Banashankari,3.9,441,400.0,"South Indian, North Indian, Chinese, Biryani"
By 2 Coffee,Basavanagudi,3.9,25,100.0,South Indian
Kedia's Fun Food,Jayanagar,4.3,630,200.0,"North Indian, Street Food, Juices"
Davangere Butter Dosa Hotel,Kumaraswamy Layout,3.8,25,150.0,South Indian
Just Shawarma,Kumaraswamy Layout,3.9,160,300.0,Arabian
Mini Punjabi Dhaba,Banashankari,4.2,287,350.0,North Indian
Mulabagilu Dosa,Basavanagudi,3.6,11,100.0,South Indian
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,4.1,402,500.0,Cafe
Gokul Veg,Basavanagudi,3.8,469,750.0,"North Indian, Chinese, Beverages"
Olive - Era,Kumaraswamy Layout,3.3,511,550.0,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts"
Udupi Ruchi,Banashankari,3.9,57,200.0,"South Indian, North Indian, Chinese, Street Food"
Madhappa Hindu Military Hotel,Banashankari,3.4,14,300.0,South Indian
Gama Gama,Banashankari,3.9,264,200.0,South Indian
The Vintage Cafe,Banashankari,3.0,62,400.0,"Cafe, French, North Indian"
Pizza Hut,Banashankari,3.8,693,750.0,"Pizza, Fast Food"
Mangalore Pearl,Jayanagar,3.8,242,650.0,"Mangalorean, Seafood, Chinese, Biryani"
Asha Sweets Centre,Basavanagudi,3.6,27,250.0,Fast Food
Twiststick House,Basavanagudi,4.1,163,500.0,"Continental, Fast Food, Street Food, Momos"
Cool Corner,Basavanagudi,4.2,191,250.0,"Street Food, Fast Food"
Pizza Mane,Banashankari,3.5,32,150.0,"Pizza, Sandwich, Burger, Fast Food"
Dal Tadkaa,Banashankari,2.5,247,500.0,North Indian
Chutney Chang,Jayanagar,4.1,2339,1500.0,"North Indian, Chinese, BBQ"
Mystique Palate,Jayanagar,4.1,337,300.0,"Chinese, Fast Food"
Thamboola,Banashankari,3.9,135,800.0,"North Indian, Chinese, Continental"
Castle Rock,Uttarahalli,3.6,172,700.0,"North Indian, Chinese"
Vietnamese Kitchen,Banashankari,3.6,105,700.0,Vietnamese
